Review	Sentiment
Sta reci, sem ODLICNO. Pizza je stigla vrela, veoma bogata, isto kao i palacinka. Sve pohvale! Sigurno narucujem opet.	1
Fenomenalno,pica dostavljena za 25 min i jos meka i topla.Sve pohvale,samo tako nastavite	1
Klopa je odlicna, dostava brza. Narucila sam porodicni rucak, online, i pisalo je da stize za 60 minuta. Stiglo je za 30!	1
Odlično, kao i uvek, dobro spremljeno i na vreme.	1
Pica je masna , puna nekog nekvalitetnog sira.i nikako da shvate da se prvo stavlja sir a onda dodaci...Zamolio sam da korica bude hrskava ili ni to nisu ispostovali	0
Jako lose i dostava duza od obecanja!	0
Porucili smo pizzu koja nam je nakon 60min stigla hladna...	0
Najsuvlja lepinja ikad. pomfrit jako tvrd a ni meso nije bas najbolje. Bar je dostava bila i pre vremena ali ne znam da li bi narucio opet, mora to i moze mnogo bolje...	0
Sve pohvale	1
Narucujem maltene svaki dan - izuzetna usluga, vrhunska hrana (preporuka za paste omnomnom).UUu i savrsene su palacinke!	1
Sudžuke su neke obične kobasice, ćevapi tek na tragu klasičnog kafanskog ćevapa... Preskupo za ono što nude!	0
mislim da smo ubedljivo jedni od najcescih musterija! sta da vam kazemo, jednom kad ih isprobate, necete hteti da ih menjate :D	1
odlična pizza, najprijatnije iznenadjenje na donesi.com ikada.. samo nastavite..	1
fenomenalno ! dostava je stigla i pre vremena ! :-) svaka cast !	1
Kolenica u testu je stvarno odlicna i veoma velika prijatno smo se iznenadili. Dostava je stigala na vreme, jelo je bilo toplo.	1
Odlična hrana, brza dostava	1
Western bacon je strava, ustvari bilo koji da uzmete necete pogresiti. Brzi su isto.	1
Vreme dostave 1 h i 20 min	0
Super i brzo :)	1
Umesto za 45min kako je bilo najavljeno isporuka je trajala sat i 45min. Hrana je bila topla, pomfrit polu hladan. Samo jer je neki put da narucujem i nikad nisu ovoliko kasnili ocena je osrednja.	0
Odlicna hrana, velike porcije i brza dostava	1
Hrana je bila jako loša. Naplaćuju i ambalažu pa to je sramota... Ovde više neću jesti to je sigurno	0
Odusevljen sam cinjenicom da postoji ovako nesto kod nas. Na vreme je stiglo i zadovoljan sam!!	1
Sve preporuke, odlicno!	1
vesalica nije bila pecena	0
zaista sjajno	1
Na vreme stiglo, velika porcija, ukusno.  Sve pohvale	1
pica je vrhunska, prepuna je i vise nego dovoljna za jednu osobu.	1
Palacinke su odvratne, karadjordjeva nije bila losa i cene nisu strasne.	0
Rolnice hladne, povrce sa nudlama kombinacija pirincanih nudli i spageta... Razocarana	0
Pitu samo nisu doneli.	0
Kasnili su pola sata, na kraju nisam ni uzeo hranu.	0
teleca corba je puna mesa i vrlo ukusna, gulas odlican, prebranac cudan.	0
Pica je stigla hladna. Takodje je puna soli! Verovatno ovde vise necu porucivati!	0
mala porcija za 1100 dinara..	0
Pitice su odlicne! Gurmanska je mogla da bude malo vise ljuta, piletina je bila pretvrda i malo bljutava. Sve pohvale za caciki sos.	0
pasulj bez mnogo pasulja, nije los ukus	0
Picu necu ni da komentarisem , jedva jestiva. Ali dostavljac koji je probudio pola komsiluka u 1:30 ujutru??!! Isao covek od vrata do vrata i zvonio dok nije potrefio . . .	0
Nije ni blizu kao u Sarajevu. Stim da je najzalosniji deo, da u Saraje u sigurno ne jedu svinjetinu!!!!	0
Picerija se zove Zero-Zero, mogu reći da je naziv u skladu sa kvalitetom...	0
